age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
20,M,154,En Couple,1,true,3293 GV 61
36,M,860,En Couple,0,false,3164 AB 26
31,M,443,En Couple,3,false,3893 IG 71
49,F,403,En Couple,4,true,1811 CU 68
35,F,1071,Célibataire,0,false,1496 HD 24
75,M,515,En Couple,3,false,7465 BJ 76
62,M,1207,En Couple,2,true,838 GP 44
33,F,1288,En Couple,3,true,3812 OX 31
38,M,474,En Couple,0,false,3689 RV 61
57,M,564,Seule,2,false,6004 UV 95
59,M,231,En Couple,1,true,2486 YL 11
47,F,586,En Couple,4,false,2385 XP 66
19,M,411,En Couple,4,false,2731 OQ 71
47,M,547,En Couple,2,false,7023 MP 71
49,M,168,Seule,2,false,4528 GG 27
36,M,540,En Couple,1,true,8379 BN 42
78,M,583,En Couple,2,false,7832 NQ 87
38,M,503,Célibataire,0,false,8524 NM 81
19,F,419,Célibataire,0,false,6591 FB 88
50,M,518,Célibataire,0,false,8741 CO 17
34,F,559,En Couple,1,false,1963 OY 86
45,M,199,En Couple,2,false,5727 GK 27
74,M,1208,Célibataire,0,false,9436 MN 82
43,M,702,En Couple,2,false,705 NM 32
30,M,568,En Couple,3,false,5485 EH 76
82,M,939,En Couple,1,false,3818 MA 24
42,M,229,Célibataire,0,false,9043 IL 33
51,Féminin,1283,En Couple,3,false,4434 RS 97
47,M,521,Seule,3,false,4394 MI 48
65,M,235,En Couple,3,false,1566 JM 61
71,M,401,En Couple,0,false,8637 ZF 70
28,M,1215,Célibataire,0,false,7771 MU 93
18,F,236,En Couple,4,false,5597 FZ 84
49,M,468,En Couple,4,true,784 DE 63
18,M,469,En Couple,1,true,9206 BM 84
26,F,506,En Couple,2,false,1838 NV 73
54,F,197,En Couple,0,false,7167 GQ 98
19,M,581,En Couple,0,true,5617 AU 27
28,M,164,En Couple,2,false,5720 OY 75
49,M,548,En Couple,0,false,3101 NF 14
47,F,484,Célibataire,0,false,1867 XV 12
48,F,964,En Couple,4,true,2691 OY 43
62,F,1349,Seule,3,false,733 PG 90
72,F,243,Célibataire,0,false,443 KP 38
34,M,532,Célibataire,0,false,6267 ZT 79
83,Masculin,764,En Couple,4,false,7242 OS 50
63,M,512,En Couple,1,false,5231 TX 85
28,M,155,En Couple,4,false,3995 UO 57
45,M,1299,En Couple,3,false,4635 ZO 15
30,M,593,En Couple,2,false,8055 AL 49
21,F,222,En Couple,2,false,6571 JD 57
50,M,454,Célibataire,0,false,8543 AU 79
56, ,190,En Couple,1,false,5396 QP 88
57,M,586,Seule,2,false,6174 BG 63
58,F,208,Célibataire,0,false,9657 FW 45
28,F,580,En Couple,1,false,9401 SF 58
79,M,1162,Seule,2,false,1170 RF 42
29,F,1082,En Couple,0,false,3088 BP 17
36,M,946,Célibataire,0,false,4116 JA 60
46,F,444,Seule,1,false,4444 UE 49
29,M,249,En Couple,1,false,7534 JB 76
49,F,201,En Couple,1,false,7889 DD 42
36,M,408,Seule,1,false,4487 PW 88
38,F,192,Célibataire,0,false,939 FX 89
83,Féminin,533,En Couple,1,false,9571 RB 69
20,M,592,En Couple,0,false,6338 ZZ 98
54,F,213,En Couple,1,true,445 WB 31
26,Femme,165,Célibataire,0,false,119 YP 63
45,M,852,En Couple,3,false,4940 HB 39
58,M,597,Célibataire,0,false,9511 QB 73
59,M,946,En Couple,3,true,9952 ED 44
32,M,495,En Couple,1,false,6325 NK 29
20,M,520,En Couple,3,false,2835 PX 51
56,M,510,Célibataire,0,false,3137 HS 72
57,F,810,En Couple,2,false,4857 BM 12
56,M,1074,En Couple,2,false,5333 SZ 26
28,F,968,En Couple,1,false,9970 TO 65
28,M,1317,Célibataire,0,false,5363 LZ 71
26,F,519,En Couple,1,false,1781 HI 60
69,M,505,En Couple,2,false,3370 JP 39
48,M,429,En Couple,2,false,9365 NF 76
39,F,216,En Couple,4,true,2241 FO 55
32,M,899,Célibataire,0,false,685 RE 32
23,M,498,Seule,3,false,3256 LA 14
18,F,402,En Couple,0,false,2437 QZ 74
31,F,560,En Couple,1,false,9403 EL 19
57,M,461,Célibataire,0,false,6620 KC 60
24,M,550,Célibataire,0,false,848 JS 15
32,F,514,En Couple,2,true,8925 WS 96
36,M,1130,En Couple,3,false,4037 JN 49
25,M,212,Célibataire,0,false,6172 JL 71
23,M,438,Célibataire,0,false,1157 RC 47
43,M,449,Célibataire,0,false,3448 CF 64
65,M,525,Célibataire,0,false,3650 TT 78
44,M,1167,En Couple,3,false,5784 HK 64
60,F,1199,En Couple,1,false,1689 NY 88
19,M,427,En Couple,3,false,5168 LA 76
52,M,1286,En Couple,3,false,8371 RV 95
66,M,897,En Couple,1,true,8267 LU 54
19,M,484,Célibataire,0,false,688 QB 93
46,Homme,817,Célibataire,0,false,3775 ID 49
20,F,214,En Couple,3,false,4443 ZZ 22
31,M,987,Célibataire,0,false,7182 BX 22
57,M,567,Célibataire,0,false,9530 PN 30
53,M,199,En Couple,4,false,1841 WE 58
22,M,509,En Couple,1,false,973 BQ 14
20,M,172,En Couple,1,false,6429 LX 39
21,F,472,En Couple,2,false,9724 JP 42
-1,F,1352,Célibataire,0,false,4239 FA 28
30,M,187,Célibataire,0,false,4699 GZ 14
62,M,844,En Couple,1,false,5585 FF 55
42,M,404,En Couple,2,false,9352 KJ 25
28,M,443,En Couple,2,true,7205 EE 37
32,F,814,Célibataire,0,false,7880 PW 48
30,M,195,En Couple,1,false,7462 QB 16
84,M,154,Célibataire,0,false,7327 IL 42
67,M,919,Célibataire,0,false,3324 JD 87
50,M,444,En Couple,0,true,2103 CD 93
74,F,843,Célibataire,0,false,5654 MW 78
33,M,401,Célibataire,0,false,517 AC 65
52,M,1191,Célibataire,0,false,1311 NL 26
38,M,1188,Seule,2,false,8457 DX 75
58,M,403,En Couple,0,true,1307 NC 72
26,M,930,Célibataire,0,false,6604 JH 49
27,M,496,En Couple,4,false,1400 JE 69
47,M,411,En Couple,3,false,6129 BF 60
36,M,1001,En Couple,1,false,5072 ON 58
35,M,516,Célibataire,0,false,5798 FV 48
24,M,1187,En Couple,1,false,1619 WQ 10
22,M,1238,Seule,1,false,5330 CQ 58
59,M,550,En Couple,4,false,2447 RT 14
39,F,212,En Couple,1,false,1766 XM 53
18,M,1266,En Couple,2,false,1242 OG 27
24,M,532,En Couple,2,false,2766 GS 51
24,F,1037,Célibataire,0,false,2323 SK 75
65,F,452,Célibataire,0,false,9151 QE 21
59,F,995,Seule,1,false,4870 SQ 23
74,F,169,En Couple,1,false,360 FO 60
72,M,411,Célibataire,0,false,4039 TL 28
18,M,1227,En Couple,3,false,2018 UO 75
23,M,228,Célibataire,0,false,547 SD 54
53,M,153,En Couple,3,true,7122 AU 58
74,M,565,En Couple,1,false,932 RN 32
52,Homme,576,Célibataire,0,false,1236 TC 97
50,M,414,Seule,1,false,1067 OY 13
49,M,491,En Couple,1,false,1167 FH 60
42,M,903,En Couple,2,false,7654 PR 84
74,M,417,En Couple,4,false,7877 KW 54
36,M,588,En Couple,0,false,3593 MU 81
25,M,405,En Couple,3,false,9265 MI 28
49,M,1131,En Couple,0,false,5510 VL 88
19,M,553,Célibataire,0,false,3688 SJ 16
76,M,178,Célibataire,0,false,6551 NH 46
32,F,457,Seule,3,false,8971 XM 79
43,F,1246,En Couple,4,false,3040 NQ 61
37,M,197,En Couple,1,false,4321 AS 25
40,F,171,En Couple,2,false,2063 LV 18
30,F,590,En Couple,0,true,3359 YM 70
?,M,1217,En Couple,4,false,750 TW 33
74,M,566,En Couple,3,true,8561 WQ 94
54,M,239,En Couple,2,true,7981 FU 87
31,F,434,Seule,3,false,5359 GU 26
65,M,523,En Couple,4,false,3498 QL 66
37,F,1393,Célibataire,0,false,6379 RF 74
77,M,790,Célibataire,0,false,7834 JR 19
34,M,415,En Couple,1,false,2735 VR 84
26,M,1172,En Couple,0,false,5871 SZ 33
30,M,501,Célibataire,0,false,8146 ZH 87
61,F,202,Célibataire,0,false,9313 AI 55
46,M,537,En Couple,0,true,3073 LR 54
43,M,812,En Couple,4,false,4919 QB 28
29,M,576,Célibataire,0,false,599 YG 47
27,M,423,Célibataire,0,false,5757 RO 61
61,M,181,En Couple,0,false,3799 UX 22
24,F,990,En Couple,1,false,9181 PA 95
76,F,875,Célibataire,0,false,910 XY 58
44,M,439,En Couple,0,false,504 HG 81
41,M,1183,Célibataire,0,false,8292 DY 97
52,M,150,En Couple,4,false,1260 LX 91
35,F,246,Célibataire,0,false,1785 MV 36
33,M,487,En Couple,-1,true,2045 IB 26
35,M,591,En Couple,1,false,6682 PN 53
53,F,429,Célibataire,0,false,6333 KK 44
26,M,187,En Couple,2,false,5243 ZT 58
43,M,1072,En Couple,2,true,7318 RF 59
82,M,221,En Couple,0,false,715 VT 53
25,M,438,En Couple,3,false,8396 BW 93
33,F,1147,En Couple,3,false,5493 KM 92
40,M,454,En Couple,0,false,8189 AU 59
32,M,586,En Couple,0,false,5675 UK 32
42,M,1259,En Couple,3,false,5986 AV 46
49,M,1312,En Couple,0,false,3643 JO 89
28,M,424,En Couple,2,true,7581 NS 26
25,M,1385,Célibataire,0,false,6092 FE 40
26,F,587,En Couple,3,true,635 VE 74
58,M,419,En Couple,2,false,383 TX 41
54,M,472,Célibataire,0,false,8593 GI 26
57,F,986, ,0,false,4655 GI 42
25,M,423,En Couple,1,false,1873 GG 70
42,F,1381,Célibataire,0,false,7555 FN 16
81,M,549,En Couple,2,true,2883 WB 53
25,M,913,Célibataire,0,false,2761 ZZ 29
22,M,1360,En Couple,2,false,8318 OS 30
24,M,422,En Couple,3,true,8218 SW 44
77,F,210,Célibataire,0,false,9150 HE 86
28,M,512,En Couple,1,true,5803 SE 59
46,F,500,Célibataire,0,false,4973 YY 63
59,M,476,En Couple,1,false,3591 JU 33
59,M,969,En Couple,2,false,3196 IR 71
50,F,240,En Couple,3,false,2535 CO 35
44,M,203,En Couple,3,true,9144 ZG 18
80,F,487,En Couple,4,true,9948 VF 79
25,Masculin,1135,En Couple,2,false,9655 DP 59
25,M,976,En Couple,0,false,9793 RZ 62
27,M,404,Seule,3,false,330 KU 30
56,F,837,Célibataire,0,false,2155 QD 10
28,M,764,Célibataire,0,false,4235 CG 26
50,M,167,Célibataire,0,false,2890 UV 73
46,M,1022,Célibataire,0,false,9518 GV 90
33,M,444,Célibataire,0,false,6855 QS 31
19,F,556,En Couple,1,false,2577 JC 21
38,M,598,En Couple,1,true,6454 WR 26
44,M,1198,Célibataire,0,false,4797 LN 64
50,F,1281,Célibataire,0,false,7459 MM 53
36,F,525,Célibataire,0,false,3156 LX 86
32,F,1007,En Couple,0,false,8902 GU 13
81,F,404,En Couple,1,false,5155 QH 92
66,F,1012,En Couple,2,true,7665 DC 87
27,M,196,Célibataire,0,false,2831 IY 22
36,M,494,En Couple,1,false,3374 AK 28
23,M,561,En Couple,0,true,4953 RO 86
36,M,1138,En Couple,2,false,883 DW 88
53,M,1169,En Couple,4,false,6988 LO 44
30,F,408,En Couple,0,false,9327 OT 13
56,F,1396,Célibataire,0,false,1707 QX 68
49,M,1336,En Couple,0,true,6252 KW 96
57,F,571,En Couple,1,false,3093 FE 97
35,M,595,Célibataire,0,false,5789 SW 13
52,M,1382,Célibataire,0,false,547 MW 44
48,F,547,En Couple,0,false,1135 KO 78
20,M,168,En Couple,4,true,8454 DY 30
30,F,570,En Couple,3,false,6761 WS 70
19,F,722,Célibataire,0,false,9115 QD 36
37,M,539,Célibataire,0,false,1661 UY 68
52,F,441,Célibataire,0,false,5656 UH 52
27,M,198,En Couple,0,false,3478 UH 68
19,F,233,En Couple,1,false,9742 UV 87
68,F,170,En Couple,1,false,5050 LO 15
47,M,736,En Couple,2,false,4663 MR 49
57,M,844,En Couple,2,false,312 IF 10
31,M,195,En Couple,0,true,3398 JO 64
50,M,1004,Célibataire,0,false,7784 JJ 93
83,M,480,Célibataire,0,false,5099 KG 51
26,F,195,En Couple,2,false,7311 GO 74
45,M,482,En Couple,2,false,7310 ZN 75
21,M,547,Célibataire,0,false,7082 TH 14
46,M,405,Célibataire,0,false,2113 SZ 15
44,M,567,Seule,2,false,9647 MA 67
71,F,740,En Couple,1,false,8401 GA 93
25,M,514,En Couple,2,false,5345 RF 90
77,M,499,Célibataire,0,false,3043 UL 38
18,M,590,Célibataire,0,false,4427 DE 20
42,F,1124,Célibataire,0,false,9224 FR 65
24,M,246,En Couple,2,false,5649 YP 51
52,M,1004,En Couple,2,false,7403 TD 11
37,F,150,Célibataire,0,false,5892 HD 79
43,M,183,En Couple,1,false,2271 ZK 59
18,M,159,En Couple,3,false,1788 JL 91
35,F,1050,En Couple,2,false,5603 WR 13
42,M,566,En Couple,1,false,7661 DF 70
42,M,215,En Couple,4,false,8176 VP 64
20,M,203,Seule,3,false,69 KB 25
52,M,401,En Couple,0,false,7895 IH 13
61,M,592,Célibataire,0,false,8617 YU 53
66,M,238,En Couple,0,false,5780 XF 29
29,M,202,Célibataire,0,false,2525 NL 43
29,F,1058,Seule,3,false,1856 HK 76
21,M,573,Célibataire,0,false,4555 HO 69
35,M,454,En Couple,0,false,216 IR 20
28,Masculin,587,Seule,1,false,6232 HJ 35
50,M,492,En Couple,1,false,1609 JH 33
30,M,1385,Seule,1,false,8740 BX 29
34,M,453,En Couple,3,false,8085 HC 60
37,F,1121,En Couple,3,false,9144 UM 49
67,M,518,En Couple,4,false,7020 RD 52
22,M,576,En Couple,2,false,6951 XE 73
79,M,757,En Couple,2,false,4086 SE 94
65,F,511,Seule,3,false,6383 BM 82
21,F,1194,En Couple,4,true,853 TE 69
42,M,495,Célibataire,0,false,7511 OF 73
24,M,783,En Couple,1,false,3382 VQ 72
55,F,228,En Couple,0,false,7216 YO 29
80,M,408,En Couple,1,false,1934 JO 20
25,F,530,Seule,3,false,182 NF 30
55,M,1258,En Couple,0,false,7070 WS 67
45,M,1040,Célibataire,0,false,2238 BA 65
18,F,1235,En Couple,3,false,9536 EV 96
84,M,1036,Célibataire,0,false,1415 ZY 83
56,M,208,En Couple,3,true,6761 KC 87
59,F,474,En Couple,4,false,2827 PT 55
54,M,160,Célibataire,0,false,1831 ZY 49
72,F,1267,Célibataire,0,false,9196 GQ 54
18,M,440,Célibataire,0,false,3667 WI 73
27,M,588,Célibataire,0,false,6793 PP 21
70,F,474,En Couple,1,false,7870 YW 80
27,M,401,Célibataire,0,false,328 WL 74
18,M,595,En Couple,1,false,9332 XD 35
77,M,592,Célibataire,0,false,4235 KH 10
76,F,168,En Couple,2,false,5197 HZ 14
23,F,525,En Couple,3,false,4269 CD 80
22,M,446,Célibataire,0,false,9721 BB 39
38,M,528,En Couple,1,true,2996 GB 78
76,M,461,En Couple,2,false,4401 OC 57
78,F,490,En Couple,2,false,7246 AB 55
64,M,1298,Célibataire,0,false,8763 TH 43
20,F,516,En Couple,0,false,6726 TQ 81
34,M,571,En Couple,0,false,2612 DT 57
29,M,1189,Célibataire,0,false,7309 PA 28
58,F,402,En Couple,3,true,9493 QY 75
56,F,203,Célibataire,0,false,8531 ME 31
20,M,478,Célibataire,0,false,5440 ZH 69
62,F,595,En Couple,2,false,3853 ZW 76
24,M,404,Marié(e),2,true,849 CV 87
50,M,869,En Couple,3,false,6238 YE 60
22,M,418,En Couple,3,false,9439 EX 71
49,F,1266,Célibataire,0,false,7744 PN 63
25,M,868,Célibataire,0,false,9002 ZV 64
79,M,240,En Couple,0,false,4633 NQ 13
43,F,1039,En Couple,3,true,1804 HA 51
44,F,838,En Couple,0,false,9417 YB 68
40,M,418,Célibataire,0,false,8522 SX 85
29,M,482,En Couple,1,false,5368 ZJ 78
41,M,551,Célibataire, ,false,1218 LF 92
64,M,1196,En Couple,4,false,8058 KL 27
18,M,461,Célibataire,0,false,5148 HE 63
30,F,1051,Célibataire,0,false,76 MX 28
22,M,468,En Couple,0,false,9323 NC 41
37,M,419,En Couple,0,false,2134 ZD 47
19,F,469,En Couple,1,false,8107 VO 40
81,F,886,Célibataire,0,false,728 CN 92
40,F,1302,Célibataire,0,false,2898 NL 89
52,M,486,En Couple,1,false,799 LQ 70
44,M,457,En Couple,1,true,5568 XE 21
28,M,512,En Couple,4,false,6607 ND 23
50,F,571,En Couple,4,false,9361 YI 34
46,M,408,En Couple,2,false,4487 IC 28
83,M,982,En Couple,0,false,2071 QR 22
47,M,204,Célibataire,0,false,5506 MG 77
42,F,505,En Couple,2,true,2530 SE 64
84,M,1070,En Couple,3,false,642 BX 96
31,M,528,En Couple,1,false,3322 OY 15
56,M,590,En Couple,2,?,3077 OA 32
32,F,863,En Couple,3,false,9568 UE 63
28,F,529,En Couple,2,false,8354 UG 36
39,M,204,Célibataire,0,false,5507 ZA 94
47,F,1143,En Couple,1,false,7034 SS 50
83,M,567,En Couple,1,true,7990 RT 17
24,F,411,En Couple,2,false,3337 WU 85
79,M,574,En Couple,2,false,3388 NW 23
39,M,492,En Couple,4,true,1027 NC 21
40,F,1029,En Couple,3,true,3599 QR 42
71,F,524,Seul,0,false,4249 DT 91
50,M,514,En Couple,4,true,8162 OS 28
47,M,208,En Couple,3,true,4020 DV 87
62,F,565,En Couple,3,true,3571 DO 45
75,M,236,En Couple,1,false,7126 IZ 77
67,F,1147,En Couple,2,false,1981 UM 20
41,F,188,Célibataire,0,false,3550 HO 17
70,F,501,En Couple,0,true,6575 ZM 29
27,Masculin,434,Célibataire,0,false,2898 XJ 66
37,F,446,En Couple,4,false,8312 OR 37
82,F,413,Célibataire,0,false,3379 BW 95
19,M,208,Célibataire,0,false,2301 QZ 59
24,F,556,En Couple,3,false,5390 NR 29
37,M,1052,En Couple,4,false,7790 VL 57
70,F,488,Célibataire,0,false,8312 GA 70
25,M,401,Célibataire,0,false,4118 SI 81
58,M,1075,Seule,2,false,8367 WP 13
21,M,730,Seule,3,false,1370 MT 92
44,M,162,Seule,3,false,381 AD 58
47,F,586,En Couple,4,false,2726 YT 10
19,M,525,Célibataire,0,false,134 XI 40
20,M,1184,En Couple,0,false,2405 RA 78
41,M,500,En Couple,2,false,6566 WB 67
58,M,156,En Couple,1,false,7944 KD 77
26,M,506,En Couple,1,false,2453 YQ 30
18,M,403,En Couple,3,false,8443 DB 53
26,M,566,En Couple,3,false,8388 SJ 51
28,M,454,En Couple,0,false,3189 WG 95
68,M,423,En Couple,1,false,4800 JN 39
76,M,447,En Couple,2,true,7125 ZC 35
62,F,774,En Couple,0,false,5500 WT 40
54,M,909,En Couple,2,true,5960 DX 98
57,M,1211,En Couple,3,false,7112 AY 73
34,M,423,Seule,3,false,575 MI 59
33,M,472,En Couple,3,false,30 XW 83
26,M,1383,En Couple,4,false,3387 OO 94
